CountryName,CapitalLatitude,CapitalLongitude,area,capital,currency_name,languages,population,x-coord,y-coord
San Marino,43.9333333333333,12.416667,61.2,San Marino,Euro,it,31477.0,106.89814833333334,60.89176988191155
Sao Tome and Principe,0.333333333333333,6.733333,1001.0,Sao Tome,Dobra,pt,175808.0,103.74074055555555,33.85235782698977
Saudi Arabia,24.65,46.7,1960582.0,Riyadh,Rial,ar,25731776.0,125.94444444444444,47.80473704600072
Senegal,14.733333333333302,-17.633333,196190.0,Dakar,Franc,fr,12323252.0,90.2037038888889,41.94408292596296
Serbia,44.8333333333333,20.5,88361.0,Belgrade,Dinar,sr,7344847.0,111.3888888888889,61.59140841416255
Seychelles,-4.61666666666667,55.45,455.0,Victoria,Rupee,en,88340.0,130.80555555555554,31.09957692692415
Sierra Leone,8.48333333333333,-13.233332999999998,71740.0,Freetown,Leone,en,5245695.0,92.64814833333334,38.397449438622616
Singapore,1.28333333333333,103.85,692.7,Singapore,Dollar,cmn,4701069.0,157.69444444444446,34.38019418175196
Sint Maarten,18.016666666666698,-63.033333,21.0,Philipsburg,Guilder,nl,37429.0,64.98148166666667,43.84558004032858
Slovakia,48.15,17.116667,48845.0,Bratislava,Euro,sk,5455000.0,109.50925944444445,64.26900972562443
Slovenia,46.05,14.516667000000002,20273.0,Ljubljana,Euro,sl,2007000.0,108.06481500000001,62.554822096546374
Solomon Islands,-9.43333333333333,159.95,28450.0,Honiara,Dollar,en,559198.0,188.86111111111111,28.402592135987398
Somalia,2.06666666666667,45.333333,637657.0,Mogadishu,Shilling,so,10112453.0,125.18518500000002,34.81556879359859
South Africa,-25.7,28.216666999999998,1219912.0,Pretoria,Rand,zu,49000000.0,115.67592611111111,18.885035002862423
South Sudan,4.85,31.616667,644329.0,Juba,Pound,en,8260490.0,117.56481500000001,36.36483959663193
Spain,40.4,-3.683333,504782.0,Madrid,Euro,es,46505963.0,97.9537038888889,58.24228594253281
Sri Lanka,6.91666666666667,79.833333,65610.0,Colombo,Rupee,si,21513990.0,144.35185166666668,37.519131342211274
Sudan,15.6,32.533333,1861484.0,Khartoum,Pound,ar,35000000.0,118.07407388888889,42.44294562546732
Suriname,5.83333333333333,-55.166667000000004,163270.0,Paramaribo,Dollar,nl,492829.0,69.35185166666666,36.913525514566956
Swaziland,-26.3166666666667,31.133333,17363.0,Mbabane,Lilangeni,en,1354051.0,117.29629611111112,18.5038360583507
Sweden,59.3333333333333,18.05,449964.0,Stockholm,Krona,sv,9828655.0,110.02777777777779,74.85385178238838
Switzerland,46.9166666666667,7.466667,41290.0,Bern,Franc,de,7581000.0,104.14814833333334,63.25409648709448
Syria,33.5,36.3,185180.0,Damascus,Pound,ar,22198110.0,120.16666666666667,53.43939152424664
Taiwan,25.033333333333303,121.516667,35980.0,Taipei,Dollar,zh,22894384.0,167.50925944444444,48.03941479082627
Tajikistan,38.55,68.766667,143100.0,Dushanbe,Somoni,tg,7487489.0,138.2037038888889,56.910662309702545
Tanzania,-6.8,39.283333,945087.0,Dodoma,Shilling,sw,41892895.0,121.82407388888889,29.880493807027307
Thailand,13.75,100.516667,514000.0,Bangkok,Baht,th,67089500.0,155.84259277777778,41.380456976218404
Togo,6.11666666666667,1.216667,56785.0,Lome,Franc,fr,6587239.0,100.67592611111111,37.07179288764696
Tonga,-21.1333333333333,-175.2,748.0,Nuku'alofa,Pa'anga,to,122580.0,2.666666666666673,21.650785918082455
Trinidad and Tobago,10.65,-61.516667000000005,5128.0,Port of Spain,Dollar,en,1228691.0,65.82407388888889,39.61820614036823
Tunisia,36.8,10.183333,163610.0,Tunis,Dinar,ar,10589025.0,105.65740722222223,55.68221376106764
Turkey,39.933333333333294,32.866667,780580.0,Ankara,Lira,tr,77804122.0,118.25925944444445,57.903015206736214
Turkmenistan,37.95,58.38333299999999,488100.0,Ashgabat,Manat,tk,4940916.0,132.435185,56.486200877002005
Turks and Caicos Islands,21.466666666666697,-71.133333,430.0,Cockburn Town,Dollar,en,20556.0,60.481481666666674,45.8823200425391
Tuvalu,-8.51666666666667,179.216667,26.0,Funafuti,Dollar,tvl,10472.0,199.56481500000004,28.91816956785727
Uganda,0.316666666666667,32.55,236040.0,Kampala,Shilling,en,33398682.0,118.08333333333334,33.84309841873654
Ukraine,50.4333333333333,30.516666999999998,603700.0,Kiev,Hryvnia,uk,45415596.0,116.95370388888888,66.2144444681176
United Arab Emirates,24.466666666666697,54.36666700000001,82880.0,Abu Dhabi,Dirham,ar,4975593.0,130.2037038888889,47.692755087415684
United Kingdom,51.5,-0.083333,244820.0,London,Pound,en,62348447.0,99.95370388888888,67.15546249853037
United States,38.883333,-77.0,9629091.0,Washington,Dollar,en,310232863.0,57.22222222222222,57.148004126712095
Uruguay,-34.85,-56.166667000000004,176220.0,Montevideo,Peso,es,3477000.0,68.79629611111112,12.988376060169742
Uzbekistan,41.316666666666706,69.25,447400.0,Tashkent,Som,uz,27865738.0,138.47222222222223,58.91563383994005
Vanuatu,-17.733333333333302,168.316667,12200.0,Port Vila,Vatu,bi,221552.0,193.50925944444444,23.65415445402673
Venezuela,10.4833333333333,-66.866667,912050.0,Caracas,Bolivar,es,27223228.0,62.85185166666667,39.524016259830226
Vietnam,21.033333333333303,105.85,329560.0,Hanoi,Dong,vi,89571130.0,158.80555555555557,45.624015905860794
Wallis and Futuna,-13.95,-171.933333,274.0,Mata Utu,Franc,wls,16025.0,4.481481666666665,25.839447833560065
Yemen,15.35,44.2,527970.0,Sanaa,Rial,ar,23495361.0,124.55555555555556,42.29883205538607
Zambia,-15.416666666666698,28.283333000000002,752614.0,Lusaka,Kwacha,en,13460305.0,115.71296277777778,24.997097851679385
Zimbabwe,-17.8166666666667,31.033333000000002,390580.0,Harare,Dollar,en,13061000.0,117.24074055555556,23.605537300529633
Hong Kong,0.0,0.0,1092.0,Hong Kong,Dollar,zh,6898686.0,100.0,33.66717159715439
British Indian Ocean Territory,-7.3,72.4,60.0,Diego Garcia,Dollar,en,4000.0,140.22222222222223,29.600598954184356
